transaction_id,timestamp,product_id,product_name,category,sku,amount,currency,payment_method,is_high_risk_item,card_bin,card_last4,issuer_country,is_3ds_passed,attempt_count,payment_gateway,customer_id,email,email_domain,email_first_seen,phone,phone_verified,previous_orders,previous_chargebacks,ip,ip_country,ip_region,proxy,vpn,tor,device_id,device_os,browser,is_emulator,delivery_type,delivery_address,address_verified,billing_address,addresses_match,shipping_region,delivery_person,delivery_signature_required,last_mile_provider,session_length_sec,pages_viewed,time_on_checkout_sec,added_card_count,cart_abandon_rate,velocity_same_card_1h,velocity_same_ip_24h,is_fraud,fraud_type,chargeback_code,chargeback_date
TXN-955324405,2025-09-13T15:51:19.126477Z,PSPLUS-1,PlayStation Plus (1 мес),subscriptions,PSPLUS-1M,476,RUB,card,0,524130,8390,RU,True,2,Raiffeisenbank,USER-371967,сергей.gamer1990@mail.ru,mail.ru,2023-01-10,+79682589228,True,15,0,247.1.240.220,RU,Воронеж,False,False,False,device_fpr_58978079,macOS,Safari 119,False,pickup,"Воронеж, ул. Пушкина, д. 152, кв. 140",True,"Воронеж, ул. Пушкина, д. 152, кв. 140",True,Воронеж,Юрий Соколов,True,DPD,749,6,62,1,0.24,2,4,0,,,
TXN-602779421,2025-07-08T19:51:19.327533Z,PSVR2-01,PlayStation VR2,vr_headsets,PSVR2-1000,74435,RUB,card,1,429649,2152,RU,True,1,Raiffeisenbank,USER-645961,константин.gamer2003@mail.ru,mail.ru,2022-12-07,+79605659710,True,2,0,182.149.25.83,RU,Краснодар,False,False,False,device_fpr_85247979,Linux,Safari 114,False,courier,"Краснодар, ул. Лермонтова, д. 60, кв. 39",True,"Краснодар, ул. Лермонтова, д. 60, кв. 39",True,Краснодар,Петр Федоров,True,СДЭК,1718,7,220,1,0.06,0,1,0,,,
TXN-705772136,2025-09-13T18:51:19.380696Z,PSPLUS-1,PlayStation Plus (1 мес),subscriptions,PSPLUS-1M,483,RUB,card,0,554395,9949,RU,True,1,TinkoffPay,USER-640853,дмитрий.gamer2003@mail.ru,mail.ru,2023-12-11,+79404122951,True,13,0,220.104.179.96,RU,Екатеринбург,False,False,False,device_fpr_27615164,iOS,Safari 100,False,pickup,"Екатеринбург, ул. Красная, д. 141, кв. 89",True,"Екатеринбург, ул. Красная, д. 141, кв. 89",True,Екатеринбург,Петр Иванов,True,Боксберри,1317,11,260,2,0.01,0,5,0,,,
TXN-354902824,2025-07-14T14:51:19.367319Z,PS5-STD-01,PlayStation 5 Standard,game_consoles,PS5STD-825SSD,52163,RUB,card,1,556048,2686,RU,True,1,Sberbank,USER-685422,юрий.gamer2008@mail.ru,mail.ru,2024-06-11,+79473390785,True,4,0,187.127.58.120,RU,Санкт-Петербург,False,False,False,device_fpr_69671333,iOS,Opera 110,False,courier,"Санкт-Петербург, ул. Ленина, д. 21, кв. 42",True,"Санкт-Петербург, ул. Ленина, д. 21, кв. 42",True,Санкт-Петербург,Виктор Петров,True,СДЭК,1503,12,39,1,0.07,0,4,0,,,
TXN-875477166,2025-07-02T12:51:19.355181Z,PSPLUS-1,PlayStation Plus (1 мес),subscriptions,PSPLUS-1M,494,RUB,card,0,538012,8838,RU,True,1,Raiffeisenbank,USER-912879,виктор.gamer1991@mail.ru,mail.ru,2024-04-13,+79175397458,True,3,0,83.49.24.166,RU,Челябинск,False,False,False,device_fpr_36152178,Windows,Firefox 103,False,pickup,"Челябинск, ул. Первомайная, д. 68, кв. 56",True,"Челябинск, ул. Первомайная, д. 68, кв. 56",True,Челябинск,Алексей Орлов,True,Боксберри,610,18,157,1,0.28,1,7,0,,,
TXN-483078202,2025-10-16T03:51:19.271924Z,PS5-STD-01,PlayStation 5 Standard,game_consoles,PS5STD-825SSD,50001,RUB,card,1,429649,1938,RU,True,1,Sberbank,USER-625957,павел.gamer2000@mail.ru,mail.ru,2022-08-14,+79978870341,True,17,0,254.179.39.8,RU,Санкт-Петербург,False,False,False,device_fpr_89605436,Linux,Edge 107,False,pickup,"Санкт-Петербург, ул. Красная, д. 104, кв. 34",True,"Санкт-Петербург, ул. Красная, д. 104, кв. 34",True,Санкт-Петербург,Юрий Иванов,True,DPD,295,18,257,2,0.03,1,5,0,,,
TXN-619150681,2025-06-25T06:51:19.345194Z,PS5-STD-01,PlayStation 5 Standard,game_consoles,PS5STD-825SSD,48476,RUB,card,1,524130,2624,RU,True,1,Sberbank,USER-513869,андрей.gamer2001@mail.ru,mail.ru,2022-11-02,+79504606743,True,15,0,66.181.166.204,RU,Москва,False,False,False,device_fpr_25924646,macOS,Opera 118,False,pickup,"Москва, ул. Молодежная, д. 30, кв. 105",True,"Москва, ул. Молодежная, д. 30, кв. 105",True,Москва,Николай Морозов,True,Яндекс.Доставка,813,14,205,1,0.13,1,2,0,,,
TXN-354986026,2025-10-23T16:51:19.239422Z,PS5-STD-01,PlayStation 5 Standard,game_consoles,PS5STD-825SSD,50137,RUB,card,1,546955,2308,RU,True,1,TinkoffPay,USER-496474,сергей.gamer1999@mail.ru,mail.ru,2023-04-26,+79756396910,True,9,0,160.25.114.129,RU,Екатеринбург,False,False,False,device_fpr_60593847,macOS,Edge 109,False,pickup,"Екатеринбург, ул. Пушкина, д. 130, кв. 81",True,"Екатеринбург, ул. Пушкина, д. 130, кв. 81",True,Екатеринбург,Юрий Орлов,True,СДЭК,729,11,260,1,0.11,0,5,0,,,
TXN-227338068,2025-10-08T10:51:19.374831Z,PS-GAME-01,Call of Duty Modern Warfare III,games,COD-MW3,3968,RUB,card,0,538012,9523,RU,True,1,Yandex.Kassa,USER-770504,иван.gamer2006@mail.ru,mail.ru,2024-08-28,+79825242859,True,16,0,30.238.9.227,RU,Москва,False,False,False,device_fpr_79876540,Android,Opera 119,False,pickup,"Москва, ул. Центральная, д. 36, кв. 54",True,"Москва, ул. Центральная, д. 36, кв. 54",True,Москва,Алексей Козлов,True,DPD,1692,4,33,1,0.26,2,0,0,,,
TXN-138404656,2025-10-02T09:51:19.242885Z,PS5-STD-01,PlayStation 5 Standard,game_consoles,PS5STD-825SSD,49488,RUB,card,1,429649,6646,RU,False,1,Sberbank,USER-699830,дмитрий.gamer2003@mail.ru,mail.ru,2024-02-24,+79962346365,True,14,0,244.233.45.64,RU,Екатеринбург,False,False,False,device_fpr_85711405,macOS,Edge 111,False,pickup,"Екатеринбург, ул. Пушкина, д. 75, кв. 52",True,"Екатеринбург, ул. Пушкина, д. 75, кв. 52",True,Екатеринбург,Дмитрий Сидоров,True,Почта России,1171,12,95,2,0.16,0,5,0,,,
TXN-139739290,2025-07-31T15:51:19.277793Z,PSPLUS-1,PlayStation Plus (1 мес),subscriptions,PSPLUS-1M,498,RUB,card,0,546955,9367,RU,True,1,Yandex.Kassa,USER-989602,николай.gamer2006@mail.ru,mail.ru,2023-04-09,+79094763632,True,16,0,149.99.52.87,RU,Уфа,False,False,False,device_fpr_46103397,iOS,Edge 111,False,courier,"Уфа, ул. Центральная, д. 89, кв. 54",True,"Уфа, ул. Центральная, д. 89, кв. 54",True,Уфа,Виктор Лебедев,True,Боксберри,1103,4,78,2,0.09,0,4,0,,,
TXN-600177484,2025-09-24T20:51:19.327044Z,HEADSET-01,PlayStation 5 Headset,accessories,PS5-HS,8368,RUB,card,0,556048,4187,RU,True,1,Yandex.Kassa,USER-376925,павел.gamer2005@mail.ru,mail.ru,2023-10-07,+79477701447,True,2,0,4.29.12.236,RU,Краснодар,False,False,False,device_fpr_48316584,Windows,Chrome 113,False,courier,"Краснодар, пр. Мира, д. 19, кв. 48",True,"Краснодар, пр. Мира, д. 19, кв. 48",True,Краснодар,Андрей Морозов,True,Почта России,145,18,221,1,0.17,1,1,0,,,
TXN-646327499,2025-08-15T15:51:19.219728Z,PS5-STD-01,PlayStation 5 Standard,game_consoles,PS5STD-825SSD,50634,RUB,card,1,429649,1572,RU,False,1,Raiffeisenbank,USER-498845,дмитрий.gamer1991@mail.ru,mail.ru,2025-07-09,+79775063068,True,12,0,178.206.27.170,RU,Москва,False,False,False,device_fpr_87565263,Linux,Edge 111,False,pickup,"Москва, ул. Центральная, д. 116, кв. 69",True,"Москва, ул. Центральная, д. 116, кв. 69",True,Москва,Дмитрий Соловьев,True,DPD,925,13,30,1,0.2,0,7,0,,,
TXN-957814098,2025-08-04T23:51:19.296854Z,CHARGING-01,Charging Stand for DualSense,accessories,CHARGE-DUAL,2466,RUB,card,0,429649,7642,RU,True,1,Yandex.Kassa,USER-645061,владимир.gamer2005@mail.ru,mail.ru,2022-08-07,+79879640050,True,3,0,225.65.140.190,RU,Уфа,False,False,False,device_fpr_39625849,iOS,Safari 112,False,pickup,"Уфа, ул. Прямая, д. 158, кв. 98",True,"Уфа, ул. Прямая, д. 158, кв. 98",True,Уфа,Дмитрий Соколов,True,DPD,729,6,275,2,0.18,0,0,0,,,
TXN-290456959,2025-08-27T19:51:19.338208Z,PS-GAME-02,Final Fantasy XVI,games,FF16,4903,RUB,card,0,429649,7784,RU,True,1,TinkoffPay,USER-746195,петр.gamer1990@mail.ru,mail.ru,2025-10-11,+79572504895,True,2,0,188.242.43.6,RU,Челябинск,False,False,False,device_fpr_47717406,Linux,Edge 107,False,pickup,"Челябинск, ул. Прямая, д. 5, кв. 106",True,"Челябинск, ул. Прямая, д. 5, кв. 106",True,Челябинск,Владимир Петров,True,DPD,753,19,294,2,0.01,1,1,0,,,
TXN-251589439,2025-06-16T20:51:19.368466Z,PSVR2-01,PlayStation VR2,vr_headsets,PSVR2-1000,72424,RUB,card,1,554395,9917,RU,False,1,TinkoffPay,USER-230229,петр.gamer2007@mail.ru,mail.ru,2025-08-01,+79117054962,True,12,0,87.105.55.217,RU,Екатеринбург,False,False,False,device_fpr_56351213,macOS,Edge 103,False,pickup,"Екатеринбург, ул. Комсомольская, д. 96, кв. 44",True,"Екатеринбург, ул. Комсомольская, д. 96, кв. 44",True,Екатеринбург,Иван Волков,True,PickPoint,1226,13,71,1,0.25,1,4,0,,,
TXN-589280839,2025-08-15T20:51:19.345717Z,DUALSE-01,DualSense Wireless Controller,accessories,DUALSE-WH,8272,RUB,card,1,546955,6244,RU,False,1,Raiffeisenbank,USER-425764,дмитрий.gamer2004@mail.ru,mail.ru,2023-05-31,+79215719565,True,2,0,216.233.59.198,RU,Казань,False,False,False,device_fpr_74683707,Linux,Firefox 102,False,pickup,"Казань, пр. Мира, д. 162, кв. 45",True,"Казань, пр. Мира, д. 162, кв. 45",True,Казань,Владимир Соколов,True,Боксберри,365,5,172,2,0.06,0,1,0,,,
TXN-758848992,2025-07-21T17:51:19.353658Z,HEADSET-01,PlayStation 5 Headset,accessories,PS5-HS,7897,RUB,card,0,429649,1160,RU,False,2,Sberbank,USER-255958,виктор.gamer2000@mail.ru,mail.ru,2025-03-09,+79165725673,True,2,0,213.216.102.66,RU,Новосибирск,False,False,False,device_fpr_43953536,iOS,Chrome 106,False,courier,"Новосибирск, ул. Первомайная, д. 148, кв. 119",True,"Новосибирск, ул. Первомайная, д. 148, кв. 119",True,Новосибирск,Алексей Иванов,True,Яндекс.Доставка,626,7,272,2,0.03,1,2,0,,,
TXN-996017797,2025-09-18T08:51:19.326692Z,PSVR2-01,PlayStation VR2,vr_headsets,PSVR2-1000,71504,RUB,card,1,429649,3178,RU,True,2,Yandex.Kassa,USER-530802,константин.gamer2009@mail.ru,mail.ru,2025-03-21,+79531904600,True,19,0,194.184.56.79,RU,Казань,False,False,False,device_fpr_20491593,Linux,Firefox 113,False,courier,"Казань, ул. Ленина, д. 91, кв. 14",True,"Казань, ул. Ленина, д. 91, кв. 14",True,Казань,Павел Петров,True,СДЭК,158,4,286,2,0.05,1,3,0,,,
TXN-667819305,2025-08-28T20:51:19.240334Z,PS-GAME-02,Final Fantasy XVI,games,FF16,4786,RUB,card,0,427650,1440,RU,True,1,Sberbank,USER-135135,сергей.gamer1998@mail.ru,mail.ru,2022-06-01,+79707134678,False,8,0,134.118.161.191,RU,Екатеринбург,False,False,False,device_fpr_34037435,Linux,Safari 116,False,pickup,"Екатеринбург, ул. Советская, д. 51, кв. 70",True,"Екатеринбург, ул. Советская, д. 51, кв. 70",True,Екатеринбург,Иван Лебедев,True,PickPoint,1370,5,198,2,0.27,1,3,0,,,
TXN-257251893,2025-09-22T00:51:19.350727Z,CHARGING-01,Charging Stand for DualSense,accessories,CHARGE-DUAL,2444,RUB,card,0,524130,5290,RU,True,1,TinkoffPay,USER-486794,иван.gamer2008@mail.ru,mail.ru,2023-07-13,+79494551272,True,18,0,182.4.144.101,RU,Омск,False,False,False,device_fpr_57632614,Windows,Edge 108,False,pickup,"Омск, ул. Молодежная, д. 92, кв. 22",True,"Омск, ул. Молодежная, д. 92, кв. 22",True,Омск,Виктор Волков,True,DPD,1771,8,39,2,0.07,1,0,0,,,
TXN-994850347,2025-10-10T08:51:19.324656Z,PSVR2-01,PlayStation VR2,vr_headsets,PSVR2-1000,75914,RUB,card,1,554395,5496,RU,True,1,Raiffeisenbank,USER-169123,алексей.gamer1997@mail.ru,mail.ru,2025-07-16,+79888561678,True,1,0,17.57.126.202,RU,Пермь,False,False,False,device_fpr_86054024,Android,Firefox 101,False,pickup,"Пермь, ул. Пушкина, д. 88, кв. 62",True,"Пермь, ул. Пушкина, д. 88, кв. 62",True,Пермь,Константин Морозов,True,DPD,78,4,136,1,0.16,2,3,0,,,
TXN-732642210,2025-06-02T00:51:19.253380Z,HEADSET-01,PlayStation 5 Headset,accessories,PS5-HS,8335,RUB,card,0,429649,9007,RU,True,1,Raiffeisenbank,USER-936014,петр.gamer1997@mail.ru,mail.ru,2022-06-05,+79452279372,True,0,0,123.146.124.188,RU,Пермь,False,False,False,device_fpr_83616416,Windows,Opera 103,False,courier,"Пермь, ул. Комсомольская, д. 3, кв. 91",True,"Пермь, ул. Комсомольская, д. 3, кв. 91",True,Пермь,Сергей Соловьев,True,СДЭК,1391,12,256,2,0.28,2,0,0,,,
TXN-834415872,2025-06-23T18:51:19.189606Z,PS5-SLIM-01,PlayStation 5 Slim,game_consoles,PS5SLIM-825SSD,62092,RUB,card,1,429649,4664,RU,True,1,TinkoffPay,USER-446184,алексей.gamer2002@mail.ru,mail.ru,2024-03-19,+79055654419,False,2,0,81.62.48.76,RU,Пермь,False,False,False,device_fpr_73588207,iOS,Chrome 114,False,courier,"Пермь, ул. Молодежная, д. 109, кв. 65",True,"Пермь, ул. Молодежная, д. 109, кв. 65",True,Пермь,Алексей Петров,True,Почта России,1022,13,129,2,0.12,1,0,0,,,
TXN-459861797,2025-08-11T07:51:19.369574Z,PS5-STD-01,PlayStation 5 Standard,game_consoles,PS5STD-825SSD,51062,RUB,card,1,429649,5403,RU,True,1,Raiffeisenbank,USER-270275,николай.gamer1994@mail.ru,mail.ru,2023-05-23,+79738425297,True,0,0,5.36.103.86,RU,Санкт-Петербург,False,False,False,device_fpr_21677909,iOS,Opera 119,False,pickup,"Санкт-Петербург, ул. Комсомольская, д. 15, кв. 17",True,"Санкт-Петербург, ул. Комсомольская, д. 15, кв. 17",True,Санкт-Петербург,Константин Морозов,True,СДЭК,622,16,74,1,0.18,2,5,0,,,
TXN-513682697,2025-10-17T01:51:19.276545Z,CHARGING-01,Charging Stand for DualSense,accessories,CHARGE-DUAL,2517,RUB,card,0,554395,8422,RU,True,1,Sberbank,USER-158541,дмитрий.gamer2007@mail.ru,mail.ru,2022-03-31,+79793232821,True,5,0,230.66.47.204,RU,Пермь,False,False,False,device_fpr_30378083,iOS,Opera 100,False,courier,"Пермь, ул. Прямая, д. 36, кв. 149",True,"Пермь, ул. Прямая, д. 36, кв. 149",True,Пермь,Андрей Волков,True,Боксберри,1110,14,101,2,0.22,1,1,0,,,
TXN-317462476,2025-06-10T15:51:19.352634Z,PS5-STD-01,PlayStation 5 Standard,game_consoles,PS5STD-825SSD,51409,RUB,card,1,554395,3878,RU,True,1,Sberbank,USER-286478,дмитрий.gamer2008@mail.ru,mail.ru,2023-01-04,+79758191629,True,11,0,184.119.14.83,RU,Омск,False,False,False,device_fpr_53086811,Linux,Chrome 107,False,courier,"Омск, ул. Центральная, д. 169, кв. 6",True,"Омск, ул. Центральная, д. 169, кв. 6",True,Омск,Сергей Орлов,True,Яндекс.Доставка,786,6,258,1,0.12,0,3,0,,,
TXN-998209917,2025-10-10T03:51:19.131045Z,PS-GAME-01,Call of Duty Modern Warfare III,games,COD-MW3,3935,RUB,card,0,427650,7254,RU,True,1,Sberbank,USER-302846,виктор.gamer2000@mail.ru,mail.ru,2021-12-24,+79152072647,True,3,0,184.24.194.96,RU,Екатеринбург,False,False,False,device_fpr_32383810,Linux,Edge 117,False,pickup,"Екатеринбург, ул. Лермонтова, д. 61, кв. 122",True,"Екатеринбург, ул. Лермонтова, д. 61, кв. 122",True,Екатеринбург,Петр Иванов,True,DPD,1134,6,34,2,0.08,0,5,0,,,
TXN-470640815,2025-05-26T05:51:19.380170Z,PS-GAME-01,Call of Duty Modern Warfare III,games,COD-MW3,3853,RUB,card,0,554395,6942,RU,True,1,Sberbank,USER-622912,петр.gamer1996@mail.ru,mail.ru,2021-12-02,+79304001121,False,19,0,203.184.77.3,RU,Санкт-Петербург,False,False,False,device_fpr_22663224,Windows,Opera 100,False,courier,"Санкт-Петербург, ул. Первомайная, д. 135, кв. 4",True,"Санкт-Петербург, ул. Первомайная, д. 135, кв. 4",True,Санкт-Петербург,Андрей Сидоров,True,Яндекс.Доставка,994,19,283,2,0.2,1,3,0,,,
TXN-946709025,2025-10-17T14:51:19.337305Z,PSPLUS-1,PlayStation Plus (1 мес),subscriptions,PSPLUS-1M,484,RUB,card,0,554395,1407,RU,True,1,Sberbank,USER-567375,константин.gamer1996@mail.ru,mail.ru,2024-06-12,+79869674106,True,11,0,153.211.56.66,RU,Уфа,False,False,False,device_fpr_11149302,Android,Opera 115,False,courier,"Уфа, ул. Лермонтова, д. 15, кв. 13",True,"Уфа, ул. Лермонтова, д. 15, кв. 13",True,Уфа,Юрий Петров,True,PickPoint,685,15,171,2,0.24,2,4,0,,,
TXN-613541605,2025-06-25T08:51:19.248153Z,PS-GAME-01,Call of Duty Modern Warfare III,games,COD-MW3,4081,RUB,card,0,538012,3162,RU,True,1,Sberbank,USER-484546,владимир.gamer1993@mail.ru,mail.ru,2022-01-31,+79793318292,True,3,0,147.121.80.173,RU,Пермь,False,False,False,device_fpr_51257621,Windows,Opera 100,False,pickup,"Пермь, ул. Октябрьская, д. 172, кв. 100",True,"Пермь, ул. Октябрьская, д. 172, кв. 100",True,Пермь,Виктор Сидоров,True,Боксберри,1510,8,197,2,0.05,0,4,0,,,
TXN-595938880,2025-08-24T03:51:19.391291Z,PSVR2-01,PlayStation VR2,vr_headsets,PSVR2-1000,74990,RUB,card,1,524130,8771,UA,False,3,Yandex.Kassa,USER-927266,new.user99116@mail.ru,mail.ru,2025-11-19,+79025061088,False,1,1,160.110.209.239,RU,Уфа,False,False,False,device_fpr_12230975,Android,Firefox 119,False,pickup,"Москва, пункт выдачи №168",False,"Екатеринбург, ул. Комсомольская, д. 141",False,Москва,Алексей Лебедев,True,Яндекс.Доставка,573,14,261,1,0.05,3,8,1,reseller_fraud,4855,2025-10-20
TXN-710876864,2025-06-22T07:51:19.388487Z,PS5-SLIM-01,PlayStation 5 Slim,game_consoles,PS5SLIM-825SSD,59990,RUB,card,1,554395,3261,RU,True,1,Sberbank,USER-111809,new.user61457@mail.ru,mail.ru,2025-11-19,+79033291232,False,0,2,52.209.15.136,RU,Волгоград,False,False,False,device_fpr_50992419,Windows,Opera 102,False,pickup,"Волгоград, ул. Первомайная, д. 23, кв. 131",False,"Волгоград, ул. Первомайная, д. 23, кв. 131",True,Волгоград,Сергей Петров,True,DPD,214,9,186,2,0.33,2,7,1,friendly_fraud,4855,2025-07-11
TXN-896912015,2025-08-04T16:51:19.299727Z,DUALSE-01,DualSense Wireless Controller,accessories,DUALSE-WH,8162,RUB,card,1,554395,9046,RU,True,1,Yandex.Kassa,USER-452690,николай.gamer2000@mail.ru,mail.ru,2024-10-05,+79054024320,True,13,0,134.64.85.34,RU,Омск,False,False,False,device_fpr_39633079,Android,Firefox 110,False,courier,"Омск, ул. Центральная, д. 3, кв. 6",True,"Омск, ул. Центральная, д. 3, кв. 6",True,Омск,Петр Федоров,True,DPD,65,18,177,1,0.09,2,1,0,,,
